0 31,59 (-14429.889648 450.344452 15.430828) (-14424.218750 444.332855 12.773965) 2.5 // booty bay dock
562 31,20 (6234.545898 256.902100 11.075373) (6230.961914 252.127274 11.180979) 2.5 // Blade's Edge Arena
562 31,20 (6243.081543 266.918854 11.059557) (6246.507324 271.623505 11.230524) 2.5 // Blade's Edge Arena
572 29,30 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,30 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,30 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,30 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,30 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 28,30 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,30 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,30 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,30 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,30 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 27,30 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,30 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 31,29 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 31,29 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 31,29 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 31,29 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
